recv_duration ,off_duration ,send_duration ,send_spacing ,avg_disc           ,lower_bound_disc ,upper_bound_disc ,norm_disc           ,lower_bound_norm_disc ,upper_bound_norm_disc ,norm_rdc            ,lower_bound_rdc     ,upper_bound_rdc     ,cumul              ,lower_cumul        ,upper_cumul        , size
900           ,0            ,100           ,1            ,5.0                ,5.0              ,5.0              ,1.0                 ,1.0                   ,1.0                   ,0.901               ,0.901               ,0.901               ,0.5495             ,0.5495             ,0.5495             ,5    ,
100           ,0            ,900           ,1            ,5.0                ,5.0              ,5.0              ,1.0                 ,1.0                   ,1.0                   ,0.10900000000000001 ,0.109               ,0.10900000000000003 ,0.9455             ,0.9455             ,0.9455             ,5    ,
50            ,900          ,50            ,1            ,1.5999999999999999 ,1.6              ,1.6              ,0.14999999999999997 ,0.15000000000000002   ,0.15000000000000002   ,0.0505              ,0.0505              ,0.0505              ,0.54975            ,0.54975            ,0.54975            ,5    ,
500           ,0            ,500           ,50           ,4.6000000000000005 ,4.6              ,4.6              ,0.9000000000000001  ,0.8999999999999999    ,0.8999999999999999    ,0.5000999999999999  ,0.5001              ,0.5001              ,0.6999500000000001 ,0.69995            ,0.69995            ,5    ,
250           ,500          ,250           ,50           ,2.8000000000000003 ,2.8              ,2.8              ,0.45000000000000007 ,0.44999999999999996   ,0.44999999999999996   ,0.25004999999999994 ,0.25005             ,0.25005             ,0.5999750000000001 ,0.5999749999999999 ,0.5999749999999999 ,5    ,
250           ,500          ,250           ,10           ,3.0                ,3.0              ,3.0              ,0.5                 ,0.5                   ,0.5                   ,0.2502499999999999  ,0.25025             ,0.25025             ,0.6248750000000001 ,0.6248750000000001 ,0.6248750000000001 ,5    ,
250           ,500          ,250           ,1            ,3.0                ,3.0              ,3.0              ,0.5                 ,0.5                   ,0.5                   ,0.2525              ,0.2525              ,0.2525              ,0.62375            ,0.62375            ,0.62375            ,5    ,
333           ,333          ,333           ,50           ,3.0                ,3.0              ,3.0              ,0.5                 ,0.5                   ,0.5                   ,0.3333933933933934  ,0.3333933933933934  ,0.3333933933933934  ,0.5833033033033033 ,0.5833033033033033 ,0.5833033033033033 ,5    ,
333           ,333          ,333           ,10           ,3.0                ,3.0              ,3.0              ,0.5                 ,0.5                   ,0.5                   ,0.3336636636636636  ,0.3336636636636636  ,0.3336636636636636  ,0.5831681681681682 ,0.5831681681681682 ,0.5831681681681682 ,5    ,
333           ,333          ,333           ,1            ,3.0                ,3.0              ,3.0              ,0.5                 ,0.5                   ,0.5                   ,0.3366666666666667  ,0.33666666666666667 ,0.3366666666666668  ,0.5816666666666667 ,0.5816666666666667 ,0.5816666666666666 ,5    ,
